epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.967,1.51708,3.79021,1.2658,0.01222,0.50804,0.07898,0.04122,1.45434,3.88487,1.18225,0.00024543,0.00024543,0.00024543
2,476.733,1.53129,2.67889,1.24353,0.0148,0.62256,0.18502,0.10232,1.5562,3.53383,1.28671,0.000450455,0.000450455,0.000450455
3,731.687,1.54185,2.30681,1.25182,0.35559,0.13065,0.2243,0.1295,1.58108,3.10008,1.29557,0.000605085,0.000605085,0.000605085
4,981.193,1.5083,2.22858,1.2346,0.34751,0.32625,0.29507,0.1685,1.64262,2.47224,1.28566,0.000639027,0.000639027,0.000639027
5,1232.22,1.50606,2.11331,1.23385,0.50112,0.44469,0.40256,0.22314,1.5623,2.21404,1.27978,0.000549036,0.000549036,0.000549036
6,1484.07,1.44504,1.89359,1.21117,0.60439,0.47577,0.53346,0.29237,1.56616,1.91541,1.29018,0.000459045,0.000459045,0.000459045
7,1734.29,1.42915,1.78215,1.18225,0.61733,0.51181,0.56677,0.32246,1.56168,1.84283,1.2831,0.000369054,0.000369054,0.000369054
8,1987.21,1.40861,1.70895,1.17919,0.61314,0.56119,0.5907,0.33687,1.52166,1.76426,1.26898,0.000279063,0.000279063,0.000279063
9,2239.82,1.35709,1.66826,1.15898,0.70122,0.54359,0.62167,0.36042,1.49847,1.65198,1.24232,0.000189072,0.000189072,0.000189072
10,2493.14,1.35377,1.57256,1.13792,0.71238,0.59513,0.64089,0.3758,1.46817,1.58372,1.21578,9.9081e-05,9.9081e-05,9.9081e-05
